Startdatum,Einddatum,Hele dag?,Starttijd,Eindtijd,Terugkerend?,Titel,Omschrijving,Categoriën,Toegelaten?,Locatie,Adres,WebURL,URL omschrijving,OV,Entree,Image,Hovers,Clicks,CTR
18/06/2016,19/06/2016,Ja,,,Nee,The Green Market Berlin – Summer edition – Vegan market.,"De markten van The Green market zijn inmiddels een groot succes in Berlijn, en niet onterecht! Op deze gezellige markten draait het niet alleen om overheerlijk vegan eten, maar ook om andere fijne en vooral eerlijke lifestyleproducten. Er is muziek, theater en je kunt je er gerust een hele middag vermaken! Anders dan bij vorige edities zijn ze dit keer in Neukölln neergestreken, een hele nieuwe omgeving dus!",,Ja,Kindl centre,"Am Sudhaus 3, Neukölln",//www.facebook.com/events/577516985742395/,Facebook event,U7 Rathaus Neukölln,"2,00",,no data,no data,no data
21/06/2016,21/06/2016,Nee,12:00,23:59,Nee,Fete de la musique,"Op de langste dag van het jaar, is het weer World Music Day en vindt ook het Fete de La Musique plaats. Dit festival wordt over de hele wereld in meer dan 540 steden gevierd. In Berlijn zijn er jaarlijks grote artiesten die op het festival optreden en het is bovendien gratis, dus dat mag je niet missen. Bekende locaties zijn bij Yaam, Mauerpark, IPSE, White Trash Fast Food en Sage Beach Bar. Dus bepaal snel naar welk feestje jij wil en geniet van een avond en nacht vol muziek in Berlijn!",,Ja,Op tientallen locaties door de hele stad,,//www.fetedelamusique.de/,fetedelamusique.de,,"0,00",,no data,no data,no data
23/06/2016,23/06/2016,Ja,,,Nee,"Freiluftkino Hasenheide draait: B-movie, Lust & Sound in West-Berlin 1979-1989","Zoals ik al in het overzicht van Mei schreef, is het Freiluftkino seizoen helemaal begonnen! Op donderdag 23 juni draait in de kino in park Hasenheide de typisch Berlijnse film B-movie, Lust & Sound in West-Berlin 1979-1989. Deze klassieker gaat over het leven in West-Berlijn in de jaren ’80, en dan met name in de sub- en popculturen. Voor de muur viel was West-Berlijn het centrum van feest, punk, een hoop drugs, korte dagen en hele lange nachten. Mark Reeder laat zijn stad zien en legt uit waarom West-Berlijn is zoals ze is. Een prachtige documentaire met heel veel oude onbekende beelden, over een stad die sinds 1990 niet meer bestaat.",,Ja,Freiluftkino Hasenheide,"Hasenheide 107, Neukölln",//www.facebook.com/events/1531727853803485/,Facebook event,U7/8 Hermannplatz,"8,00",,no data,no data,no data
24/06/2016,26/06/2016,Ja,,,Nee,Bergmannstrassenfest,"Jaarlijks is het Bergmannstrassenfest een van de gezelligste festivals in Berlijn. Met muziek, dans en theater, wordt een vrolijk weekend vol vrolijkheid gevierd. Het programma is pas kort van te voren helemaal rond, maar kijkend naar voorgaande jaren er is muziek van Jazz, tot Funk, tot Afrosoul, tot Salsa, Latin en nog veel en veel meer.",,Ja,"Bergmannstrasse, Kreuzberg","Bergmannstrasse, Kreuzberg",//www.kiez-und-kultur.de/,kiez-und-kultur.de,U6/7 Mehringdamm,"0,00",,6,1,"6,00%"
25/06/2016,25/06/2016,Nee,10:00,18:00,Nee,"Dicke Linda, grote boerenmarkt in Neukölln","Is dat niet gewoon een weekmarkt? Niet helemaal, bij Dicke Linda kun je ook allemaal heerlijke hapjes krijgen! In Juni staat elke zaterdag de Kranoldplatz helemaal vol met leuke kraampjes. Een fijne plek om lokale lekkernijen te proeven en in te slaan voor thuis!",,Ja,,"Kranoldplatz, Neukölln",//www.facebook.com/events/957257417724219/,Facebook event,S+U Neukölln,"0,00",,no data,no data,no data
07/07/2016,10/07/2016,Nee,12:00,23:00,Nee,Gelato Festival,"Als je net zo gek bent van Italiaans ijs als ik, dan kun je van 7 tot 10 juli je hart ophalen! Het Gelato festival komt naar Berlijn en dat betekent dat je vier dagen lang kunt genieten van het beste ijs ter wereld. Er komen elf ijsmakers, die ter plekke heerlijk ijs fabriceren. Ook zijn er lezingen en workshops en leer je alles over Italiaanse gelato wat er te leren valt. Wil je alles proeven? Koop dan online voor 13 euro de ‘Gelato card’, waarmee je onbeperkt álles kunt proeven!",,Ja,Arena Berlin,"Eichenstrasse 4, Treptow",//gelatocard.gelatofestival.it,gelatofestival.it,U1 Schlesisches Tor,"13,00",,1,no data,no data
09/07/2016,09/07/2016,Nee,18:00,23:00,Nee,Staatsoper für Alle,"Heb je zin in een mooie avond vol klassieke muziek? Dan zit je helemaal goed met dit prachtige concert! Midden op de Unter den Linden, voor de Bebelplatz, speelt de Staatskappelle Berlin twee prachtige stukken in de open lucht, gratis voor iedereen! Ze trappen af met het vioolconcert d-Moll opus 47 van Jean Sibelius, waarna Eroica uit de 3e Symfonie van Ludwig von Beethoven gespeeld wordt. Neem vooral een kussentje of kleedje meer voor onder je billen en wellicht wat drinken en een versnapering. Genieten!",,Ja,,"Bebelplatz, Mitte",//www.facebook.com/events/1696078253984050/,Facebook event,S Hackescher Markt of U2 Hausvogteiplatz,"0,00",,1,no data,no data
14/07/2016,17/07/2016,Nee,15:00,23:00,Nee,Tegeler Hafenfest festival,"Jaarlijks vindt het traditionele Tegeler Hafenfest plaats, aan de grote Greenwichpromenade in Alt-Tegel. Dit is altijd een groot feest, met vuurwerk, een piratendorp voor kids, live muziek op drie verschillende podia en natuurlijk veel hapjes en drankjes. Optredende artiesten zijn onder andere Frank Zander, Atemlos, Creedence Clearwater Revived en op zondagmiddag een rasechte Schlager-party. Het vuurwerk is alleen op vrijdag- en zaterdagavond, vanaf 22.50 uur. - Donderdag en vrijdag: 15.00 tot 23.00 uur, zaterdag 11.00 tot 23.00 uur, zondag 11.00 tot 20.00 uur.",,Ja,,"Greenwich Promenade, Alt-Tegel",//www.facebook.com/events/1536446526685702/,Facebook event,U6 Alt-Tegel,"15,00",,2,no data,no data
16/07/2016,17/07/2016,Ja,11:00,,Nee,Lesbisch-Schwules Stadtfest,"Het Berlijnse regenboogfonds organiseert voor de 24e keer het grootste Lesbo-Homo stadfeest van Europa, in en rondom de Nollendorfplatz in Berlijn Schöneberg. Het is onderdeel van de ‘pride week’, een week waarin nadruk ligt op de rechten van de LGBT-gemeenschap in Berlijn en waar ook ter wereld. Met allerlei evenementen is dit een enorm gezellig feest, waar je kunt genieten van live-muziek, muziekpodia, natuurlijk genoeg lekkers eten en drinken, kleinkunst en nog veel meer. Met een festivalterrein van 20.000 meter en 350.000 bezoekers per jaar, is het een van de grootste gay-festivals ter wereld.
Bekijk de plattengrond <a href=""//www.stadtfest.berlin/de/stadtfest_lageplan.html"">hier</a>.",,Ja,,"Nollendorfplatz, Schöneberg",//www.stadtfest.berlin/en/index.html,stadtfest.berlin,U1/2/3 Nollendorf Platz,"0,00",,1,no data,no data
17/07/2016,17/07/2016,Nee,10:00,17:00,Nee,Mexico Breakfast Market in Markthalle Neun,"In samenwerking met de Mexicaanse ambassade en vele Mexicaanse restaurants in Berlijn, wordt in Markthalle Neun een uitgebreide Mexicaanse ontbijtmarkt georganiseerd. Van overheerlijk huevos rancheros, tacos en tamales, tot mezcal cocktails en verse sappen. Ook kun je er kookboeken, magazines, heerlijke chili’s, mezcals, tortilla’s, koffie en zelfs cacti kopen. Bekende foodtentjes uit Berlijn die meedoen: Chaparro, NETA, California pops, Goldhahn & Sampson, Iguana Bonita, Jones ice cream.",,Ja,Markthalle Neun,"Eisenbahnstrasse 42/43, Kreuzberg",//www.facebook.com/events/624639677699172/,Facebook event,U1 Schlesisches Tor,"3,00",,3,no data,no data
22/07/2016,22/07/2016,Nee,19:00,23:59,Nee,Jazz am See in Landleben Potsdam,"De bekende Berlijnse Jazz band ‘Super one Eleven’ treedt op vrijdagavond 22 juli op in Landsleben Potsdam, voor een heerlijke jazz en latin zomeravond aan het meer! Terwijl de zon ondergaat kun je genieten van een fijne muzikale avond, in de heerlijk bosrijke omgeving van Groß-Glienicke. Voor een extra bedrag kun je hier ook mee-eten van een uitgebreid buffet.",,Ja,Landsleben Potsdam,"Seepromenade 99, 14476 Groß Glienicke",//www.facebook.com/events/601293220036410/,Facebook event,,"10,00",,2,no data,no data
23/07/2016,23/07/2016,Nee,12:00,21:00,Nee,Christopher Street Day Parade,"Jaarlijks trekt er een grote kleurrijke stoet door Berlijn, ten gelegenheid van de Christopher Street Day, in Nederland ook wel bekend als de Gay Pride. Het is dé gelegenheid voor de LGBT gemeenschap, om door de straten te trekken, feesten en dansen en aandacht te vragen voor de rechten van LGBT’s en te demonstreren tegen discriminatie en uitsluiting. De optocht vindt al sinds 1979 jaarlijks in Berlijn plaats en is daarmee een echte traditie voor de stad. Het is een prachtige parade, met heel veel muziek, dans en kleurrijk vertoon.
<strong>Motto 2016</strong>: ‘Danke für Nix’ Ondanks de vele jaren actie en aandacht voor de LGBT community, is het met de daadwerkelijke rechten nog bar slecht gesteld. Gelijkheid rondom huwelijk en adoptie is er nog steeds niet, de beloofde in ere herstelling van veroordeelden ook niet. Ook de veiligheidssituatie onder anders-seksuele vluchtelingen is nog steeds een groot probleem. Hierdoor is het demonstratie-aspect van de Parade sterker dan vorig jaar, in de hoop dat er een signaal mee afgegeven kan worden.",,Ja,"Start: Kurfürstendamm, einde bij Brandenburger Tor.",,//csd-berlin.de/csd-demo-route-2016/,csd-berlin.de,S+U Zoologischer Garten,"0,00",,no data,no data,no data
24/07/2016,24/07/2016,Nee,21:00,23:30,Nee,The Big Short - Freiluftkino Kreuzberg,"Tickets vanaf €7,-, voorverkoop via de site, anders aan de kassa op locatie",,Ja,Freiluftkino Kreuzberg,"Adalbertstrasse 73, Kreuzberg",//freiluftkino-kreuzberg.de,freiluftkino-kreuzberg.de,U1 Kottbusser Tor,"7,00",,1,no data,no data
29/07/2016,29/07/2016,Nee,21:00,23:30,Nee,The Danish Girl - Freiluftkino Kreuzberg,"Tickets vanaf €7,-, voorverkoop via de site, anders aan de kassa op locatie",,Ja,Freiluftkino Kreuzberg,"Adalbertstrasse 73, Kreuzberg",//freiluftkino-kreuzberg.de,freiluftkino-kreuzberg.de,U1 Kottbusser Tor,"7,00",,no data,no data,no data
29/07/2016,30/07/2016,Nee,12:00,23:00,Nee,Berlin Craft beer fest,"Een tweedaags craft bier festival? Dat klinkt heerlijk! Zaterdag 29 en zondag 30 juli kun je op het RAW Gelände in Friedrichshain je hart ophalen. Er zijn brouwerijen uit heel Berlijn en Brandenburg, er worden beertastings georganiseerd, er is natuurlijk muziek en lekkere hapjes. Het wordt aangeraden om vooraf tickets te kopen, waarmee je twee dagen toegang hebt en één glas en één gratis bier krijgt. Deelnemende brouwerijen: Lemke, Hops&Barley, BRLØ, Straßenbräu, Pirate Brew Berlin, Vagabund Brauerei en nog vele anderen.",,Ja,RAW Gelände,"Revaler Strasse 99, Friedrichshain",//berlincraftbeerfest.de/index.php/de/home/,,S Warschauer Strasse,"10,00",,3,no data,no data
30/07/2016,30/07/2016,Nee,15:30,-,Nee,FC Union tegen FC Utrecht,"Heb je altijd al eens een wedstrijd van FC Union in de beroemde Alte Försterei willen zien? Dan is dit je kans! De beroemde Berlijnse club speelt tegen FC Utrecht in een vriendschappelijke wedstrijd. Een uitstekende gelegenheid om een voetbalwedstrijd in Berlijn mee te maken en te genieten van de bijzondere sfeer van de fans van FC Union.
Voorverkoop: <a href=""//www.fc-union-berlin.de/tickets/vorverkauf/"">hier</a>. ",,Ja,Alte Försterei,"An der Wuhlheide 263, Berlijn Köpenick",//www.facebook.com/events/1756811107928734/,Facebook event,S Köpenick,"16,00",,1,no data,no data
30/07/2016,30/07/2016,Nee,21:00,23:30,Nee,The Revenant - Freiluftkino Kreuzberg,"Tickets vanaf €7,-, voorverkoop via de site, anders aan de kassa op locatie",,Ja,Freiluftkino Kreuzberg,"Adalbertstrasse 73, Kreuzberg",//freiluftkino-kreuzberg.de,freiluftkino-kreuzberg.de,U1 Kottbusser Tor,"7,00",,1,no data,no data
31/07/2016,31/07/2016,Nee,11:00,18:00,Nee,United Street Food Market,"Eten verbindt ons allemaal en dat wordt gevierd met de United Street Food Markt! In Berlijn zijn tientallen toffe initiatieven en organisaties, die samen koken en eten, om vluchtelingen en Berlijners samen te brengen. Door hun werk proberen grenzen te slechten en mensen de gelegenheid geven om mee te doen en te maken. Eten gaat door de maag en daarbij ook de culturele dialoog. Soul Berlin heeft 20 van deze initiatieven uitgenodigd om in Markthalle neun te laten zien wat voor werk zijn doen en om gezamenlijk te eten! Er is vanalles te krijgen, zoals kibbeh uit Aleppo, arabische taco's or Afghaanse dumplings. Ook zijn er kruidentastings, is er livemuziek en worden er verhalen verteld.

Erbij zijn: Give Something Back To Berlin, Über den Tellerrand kochen, Refugee Streetfood, Bantabaa e.V., My Right Is Your Right, Club Al-Hakawati نادي الحكواتي, HAWAASH, Refugio Café, Cooking for Peace Berlin, Wolff & Eber, Kanaan en nog veel meer!",,Ja,Markthalle Neun,"Eisenbahnstraße 42-43, Kreuzberg",//markthalleneun.de/united-street-food-market/,,U1 Schlesisches Tor,"3,00",https://markthalleneun.de/media/CACHE/images/content/United_FBBanner/5770ab943494b6d31748ca6e32b9dd05.jpeg,no data,no data,no data
05/08/2016,05/08/2016,Nee,16:00,23:59,Nee,Vlooienmarkt Mühlenmarkt Nº24,"Eens in de zoveel tijd vindt bij club Griesmühle in Neukölln een gezellige avond-vlooienmarkt plaats. Met kleding, kunst en handwerk zijn er genoeg leuke hebbedingetjes om door te sneupen. Natuurlijk zijn er hapjes, is de bar geopend en is er gezellige muziek. Na 22.00 begint de clubnacht en kun je het weekend indansen! 
Als je voor 22.00 uur komt, is de entree gratis. ",,Ja,Griesmühle,"Sonnenallee 221, Neukölln",//www.facebook.com/events/266028757100659/,Facebook event,S Sonnenallee,"0,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/13606501_999267993526796_8517014301349506108_n.jpg?oh=dd917a29421eb2030a714bd800d72d0e&oe=5817DF05,191,14,"7,33%"
05/08/2016,05/08/2016,Nee,17:00,23:59,Nee,Bite Club - Street Food Market,"Berlin’s original street food party is back! The sun is out, which means we are ready to bring some seriously big flavours to our beautiful Spreeside location.
★ Food trucks and stalls ★ Singleton whisky bar ★ Disco DJs ★ Berlin’s best Hummus ★ Spicy Jamaican Jerk ★ Liquid Nitrogen Ice Cream★ Egyptian Koshary ★ Hoppetosse dining boat ★ Real Thai BBQ ★ Little Joy ★ Sol Mexican Bar ★ Cookies & Cakes ★ Fresh Flowers ★ Free Entrance!",,Ja,Arena Berlin,"Eichenstrasse 4, Treptow",//www.facebook.com/events/309775696025493/,Facebook event,U1 Schlesisches Tor,"0,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/13781932_1216006288433014_3811055358815944959_n.png?oh=4c0d640a1ecb33faa207ba4d86bbbf65&oe=585ED8E4,723,80,"11,07%"
05/08/2016,07/08/2016,Nee,12:00,22:00,Nee,Biermeile - Berliner Bierfestival 2016,"Eindelijk is het weer zover: de biermeile begint weer bijna! Dit traditionele bierfeest op de Karl Marx Allee is geweldig leuk en mag je niet missen. Er worden bieren van over de hele wereld geschonken, langs een 2,2 kilometer lang festival. Een grote aaneenschakeling van gezellige biergartens, met gezellige terrasjes en meer dan 340 brouwerijen uit 87 verschillende landen.
Hoe werkt het: Je kunt gewoon losse biertjes kopen, maar ook een kleine 'proefpul' (pro-bier krug), waar 0.2 liter in gaat. Hiermee kun je langs de standjes gaan, waar je voor een klein bedrag het bier kunt proeven. Superleuk, want zo kun je een hoop verschillende bieren proeven! Deze pullen zijn verkrijgbaar bij de infostands bij U-bahn halte Strausberger Platz en U-bahnhalte Frankfurter Tor.",,Ja,"Karl-Marx Allee, Friedrichshain  (Start: Strausberger Platz)",,//www.bierfestival-berlin.de/,bierfestival-berlin.de,U5 Strausberger Platz,"0,00",https://www.bierfestival-berlin.de/images/index/2016/1_Internationales_Berliner_Bierfestival.png,179,37,"20,67%"
06/08/2016,06/08/2016,Nee,21:00,23:30,Nee,Youth - Freiluftkino Kreuzberg,"Tickets vanaf €7,-, voorverkoop via de site, anders aan de kassa op locatie",,Ja,Freiluftkino Kreuzberg,"Adalbertstrasse 73, Kreuzberg",//freiluftkino-kreuzberg.de,freiluftkino-kreuzberg.de,U1 Kottbusser Tor,"7,00",,200,32,"16,00%"
07/08/2016,07/08/2016,Nee,11:00,18:00,Nee,Brunnenmarkt im Wedding - die Sommeredition,"Deze leuke foodmarkt komt elke eerste zondag van de maand weer terug en op deze eerste zondag van Augustus is dat natuurlijk niet anders. Met street food, regionale handelaren, kunstwerkers, urban gardening en live muziek belooft het weer een gezellige editie te worden.",,Ja,,"Brunnenstrasse 53-65, Wedding",//www.facebook.com/events/1848862572058371/,Facebook event,U8 Bernauer Strasse,"0,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/13686739_486559528220913_986267232128786051_n.jpg?oh=dc6a0c5dc9fe72cc7f1d8c1cc3441ff8&oe=58242D93,226,30,"13,27%"
08/08/2016,08/08/2016,Nee,21:00,23:30,Nee,Der Staat gegen Fritz Bauer - Freiluftkino Kreuzberg,"Tickets vanaf €7,-, voorverkoop via de site, anders aan de kassa op locatie",,Ja,Freiluftkino Kreuzberg,"Adalbertstrasse 73, Kreuzberg",//freiluftkino-kreuzberg.de,freiluftkino-kreuzberg.de,U1 Kottbusser Tor,"7,00",,196,16,"8,16%"
10/08/2016,10/08/2016,Nee,21:00,23:30,Nee,Berlin Calling - Freiluftkino Kreuzberg,"Tickets vanaf €7,-, voorverkoop via de site, anders aan de kassa op locatie",,Ja,Freiluftkino Kreuzberg,"Adalbertstrasse 73, Kreuzberg",//freiluftkino-kreuzberg.de,freiluftkino-kreuzberg.de,U1 Kottbusser Tor,"7,00",,242,39,"16,12%"
12/08/2016,16/08/2016,Ja,18:00,,Nee,Wannabe | 1996 - 2016: A Spice Girls Art Exhibition,"Spice Girls fans opgelet! 20 jaar nadat Wannabe op single werd uitgebracht, is er een prachtige kunsttentoonstelling in Berlijn aan de meidengroep gewijd. Van donderdag 12 tot dinsdag 16 augustus, kun je in galerij The Ballery de spice girls kunst van 10 verschillende kunstenaars bekijken. Al deze kunstenaars zijn beinvloed door de Spice Girls in het verleden en hebben een werk gemaakt om de invloed op de fan-generatie te tonen en eren. Openingstijden: Zondag en maandag gesloten, dinsdag tot en met vrijdag: 15 - 19 uur, zaterdag: 12 tot 17 uur. Het openingsfeest begint vrijdag om 18 uur.",,Ja,The Ballery,"Nollendorfstraße 11-12, Schöneberg",//www.facebook.com/events/213166739079260/,Facebook event,U1/2/3 Nollendorfplatz,"0,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/13567339_10153501647746862_6393004814910235803_n.jpg?oh=ee7efdda3329a47b6ad110193e964ffd&oe=58123C21,312,42,"13,46%"
13/08/2016,13/08/2016,Nee,21:00,23:30,Nee,Er ist wieder da - Freiluftkino Kreuzberg,"Tickets vanaf €7,-, voorverkoop via de site, anders aan de kassa op locatie",,Ja,Freiluftkino Kreuzberg,"Adalbertstrasse 73, Kreuzberg",//freiluftkino-kreuzberg.de,freiluftkino-kreuzberg.de,U1 Kottbusser Tor,"7,00",,345,39,"11,30%"
14/08/2016,14/08/2016,Nee,14:00,18:00,Nee,Sultans Fest - Gärten der Welt,"In de Orientaalse tuin in de prachtige Gärten der Welt, is op zondag 14 Augustus een prachtig thema-event. Tussen de mooie planten en bloemen in deze paradijselijke tuin kun je genieten van een vrolijk event met muziek, lekkere hapjes en een paar kraampjes. ",,Ja,Gärten der Welt,"Eisenacher Str. 99, 12685 Berlin, Germany",//www.facebook.com/events/1030364033702055/,Facebook event,S Marzahn,"7,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/1775_1123577354328735_1890318236086226015_n.jpg?oh=dc96c13b4097d5fb969e2d77b8c7f308&oe=581AB07C,303,36,"11,88%"
